word	reading	pos	meaning
一	イチ	num・a-no・a-no・n	one・best・first;foremost・beginning;start
一つ	ひと.つ	num・n	one・for one thing
二	ニ	num	two
二つ	ふた.つ	num	two (things)
三	サン	num・pref	three・tri-
三つ	みっ.つ	num	three (things)
一人	ひと.り	n	one person
二人	ふた.り	n	two people;pair;couple
本人	ホン.ニン	n,a-no	the person themself;the person in question
入る	はい.る	v5r,vi	to enter;to go into
入れる	い.れる	v1,vt	to put in;to let in;to take in;to bring in;to insert・to set (a jewel, etc.);to ink in (e.g. a tattoo)
火	ひ	n,n-suf	fire;flame;blaze
口	くち	n・ctr	mouth・counter for mouthfuls
人口	ジン.コウ	n	population
入口	いり.ぐち	n,a-no	entrance;entry;gate;approach;mouth
回る	まわ.る	v5r,vi	to turn;to revolve
日	ひ	n-adv,n-t・n	day・sun
一日	イチ.ニチ	n	one day
二日	ふつ.か	n	the second day of the month
三日	みっ.か	n	the third day of the month
日本	ニ.ホン・ニッ.ポン	n	Japan
白	しろ	n	white
白い	しろ.い	a-i	white
白人	ハク.ジン	n,a-no	white person;Caucasian
月	つき	n・n-t	moon・month
一月	イチ.ガツ	n-adv	January
一月	ひと.つき	n	one month
目	め	n・suf	eye;eyeball・ordinal number suffix
自ら	みずか.ら	n	oneself
耳	みみ	n	ear
見る	み.る	v1,vt・aux-v,v1	to see;to look;to watch;to view;to observe・to try;to try out;to test
見せる	み.せる	v1,vt	to show;to display
見つかる	み.つかる	v5r,vi	to be found;to be discovered
見える	み.える	v1,vi	to be seen;to be in sight
四	シ	num	four
四	よん	num	four
四つ	よっ.つ	num	four (things)
四日	よっ.か	n	the fourth day of the month
五	ゴ	num	five
五つ	いつ.つ	num	five (things)
五日	いつ.か	n	the fifth day of the month
六	ロク	num	six
六つ	むっ.つ	num	six (things)
六日	むい.か	n	the sixth day of the month
七	シチ	num	seven
七	なな	num	seven
七つ	なな.つ	num	seven (things)
七日	なの.か	n-adv	the seventh day of the month
七月	シチ.ガツ	n-adv	July
八	ハチ	num	eight
八つ	やっ.つ	num	eight (things)
八日	よう.か	n	the eighth day of the month
九	キュウ・*ク	num	nine
九つ	ここの.つ	num	nine (things)
九日	ここの.か	n	the ninth day of the month
丸い	まる.い	a-i	round (spherical)・harmonious;calm
丸で	まる.で	adv・adv	quite;entirely;completely;at all・as if;as though;just like
日の丸	ひ.の.まる	n	the sun represented as a red circle
一丸	イチ.ガン	n	lump;(into) one
力	ちから	n	force;strength;might;vigor;energy
刀	かたな	n	(single-edged) sword;katana
自分	ジ.ブン	pn	myself;yourself;oneself
分かる	わ.かる	v5r,vi	to understand;to comprehend;to grasp;to see;to get;to follow
切る	き.る	v5r,vt・v5r,aux-v	to cut;to cut through;to perform (surgery)・to finish;to complete
一切	イッ.サイ	n,a-no・n-adv	all;everything;the whole;lock, stock, and barrel・absolutely not (with negative);without exception;entirely not
十	ジュウ	num	ten
十分	ジュウ.ブン・*ジュッ.プン・*ジッ.プン	a-na・n,vs・adv	plenty;enough;sufficient;satisfactory;adequate・division into ten・perfectly;thoroughly;fully;in full
十日	とお.か	n	the tenth day of the month
木	き	n	tree;shrub;bush
林	はやし	n,nv	woods;forest;copse;thicket
森	もり	n	forest
森林	シン.リン	n,a-no	forest;woods
米	こめ	n	(husked grains of) rice
日米	ニチ.ベイ	n	Japan-America
来月	ライ.ゲツ	n-adv,n-t	next month
来る	く.る	vk,vi・vk,vi,aux-v・vk,vi	to come (spatially or temporally);to approach;to arrive・to come back;to do ... and come back・to come from;to be caused by;to derive from
上げる	あ.げる	v1,vt・v1,aux-v	to raise;to do up・to do for (the sake of someone else);to complete
上	うえ	n,a-no,n-adv,n-suf・n-suf	above;up;over・suffix indicating higher social standing
下げる	さ.げる	v1,vt	to hang;to suspend;to wear (e.g. decoration)
下さい	くだ.さい	exp	please give me
下	した	n・n,a-no・n	below;down;under;younger (e.g. sibling)・inferiority;one's inferior (i.e. one's junior)・trade-in
下る	くだ.る	v5r,vi	to descend;to go down;to come down
下ろす	お.ろす	v5s,vt	to take down (e.g. flag, ladder);to launch (e.g. boat);to unload;to let (a person) off・to withdraw (cash)・to wear (clothing) for the first time・to fillet (e.g. a fish)
中	なか	n	inside;in
日中	ニッ.チュウ	n-adv,n-t・n	daytime;during the day・Sino-Japanese
仲	なか	n	relation;relationship
休み	やす.み	n,nv	rest;recess;respite
休む	やす.む	v5m,vi	to be absent;to take a day off
体	からだ	n,a-no・n・n,a-no・n	body・torso;trunk・health・corpse;dead body
一体	イッ.タイ	adv・n・n-adv	...in the world (e.g. "what in the world?")・one object;one body;unity・generally;in general
小さい	ちい.さい	a-i	small;little;tiny
小さな	ちい.さな	a-pn	small;little;tiny
少し	すこ.し	adv,n	small quantity;little;few;something
少ない	すく.ない	a-i	few;a little;scarce;insufficient;seldom
大切	タイ.セツ	a-na,n	important;necessary;indispensable
大きい	おお.きい	a-i	big;large;great
大きな	おお.きな	a-pn	big;large;great
大分	ダイ.ブ	adv	considerably;greatly;a lot
大体	ダイ.タイ	n・n-adv,n-t	outline;main point;gist・general;substantially;approximately;about
犬	いぬ	n・n-pref	dog (Canis (lupus) familiaris)・counterfeit;inferior;useless;wasteful
太い	ふと.い	a-i	fat;thick
太る	ふと.る	v5r,vi	to grow fat (stout, plump);to become fat;to gain weight
天下り	あま.くだ.り	n,vs	retiring high-ranking government officials taking a lucrative job in a private or semi-private corporation
川	かわ	n・suf	river;stream・River;the ... river
小川	お.がわ	n	stream;brook;creek
州	シュウ	n,n-suf・suf	state;province;county;oblast;department (of ancient China)・dear
九州	キュウ.シュウ	n	Kyushu (southernmost of the four main islands of Japan)
水	みず	n	water (esp. cool, fresh water, e.g. drinking water)
氷	こおり	n,nv	ice
子	こ	n	child・player who is not a dealer (in cards, mahjong, etc.)・bird egg
字	あざ	n,suf	section of village
大学	ダイ.ガク	n	university;college
入学	ニュウ.ガク	n,vs	entry to school or university;matriculation;enrollment (in university, etc.)
学ぶ	まな.ぶ	v5b	to study (in depth);to learn;to take lessons in
女	おんな	n	female;woman;female sex・female lover;girlfriend;mistress;(someone's) woman
女の子	おんな.の.こ	exp,n	girl;daughter
女子	ジョ.シ	n,a-no	woman;girl
少女	ショウ.ジョ	n・expl	little girl;maiden;young lady・female usually between 7 and 18 years old
安い	やす.い	a-i	cheap;inexpensive
目安	め.やす	n	criterion;standard;yardstick;reference;aim
好き	す.き	a-na,n,nv	liked;well-liked;favorite
大好き	ダイ.す.き	a-na,nv	like very much;loveable
好み	この.み	n,nv	liking;taste;choice
水田	スイ.デン	n	(water-filled) paddy field
男	おとこ	n	man;male・fellow;guy;chap;bloke
男子	ダン.シ	n	youth;young man
お父さん	お.とう.さん	n	father;dad;papa;pa;pop;daddy;dada
交わす	か.わす	v5s,vt・v5s	to exchange (messages, greetings, arguments, etc.)・... with one another;... to each other
学校	ガッ.コウ	n	school
小学校	ショウ.ガッ.コウ	n	primary school;elementary school;grade school
中学校	チュウ.ガッ.コウ	n	junior high school;middle school;lower secondary school
効力	コウ.リョク	n	effect;efficacy;validity;potency
効く	き.く	v5k,vi	to be effective;to show effect
百	ヒャク	num	100;hundred
千	セン	num	thousand;1,000
千切る	ち.ぎ.る	v5r,vt・v5r	to tear to pieces;to tear to shreds;to tear up・to do ... heavily;to do ... heartily;to do ... vigorously
万一	マン.イチ	n・adv	emergency;unlikely event・by some chance;by some possibility
放る	ホウ.る	v5r,vt	to throw;to fling;to hurl;to toss
放す	はな.す	v5s,vt	to release;to let go;to free;to set free;to let loose;to turn loose
言う	い.う	v5u	to say;to utter;to declare
一言	ひと.こと	n,vs	single word;a few words;brief comment
訪ねる	たず.ねる	v1,vt	to visit;to call on;to pay a visit to
訪中	ホウ.チュウ	n,vs	visit to China
防ぐ	ふせ.ぐ	v5g,vt	to defend against;to protect against
円	エン	n	Japanese monetary unit
円い	まる.い	a-i	round (circular)
内	うち	n,a-no・pn,a-no・n・pn,a-no	inside;within・we (referring to one's in-group, e.g. company, etc.);our・imperial palace grounds・I (primarily used by women and children);me
肉	ニク	n	meat;flesh
太り肉	ふと.り.じし	a-no,n	corpulent;fat;chubby
山	やま	n,ctr・n	mountain;hill・crown (of a hat);thread (of a screw);tread (of a tire);protruding part of an object
火山	カ.ザン	n,a-no	volcano
山林	サン.リン	n	mountain forest
氷山	ヒョウ.ザン	n	iceberg
出口	で.ぐち	n	exit;gateway;way out;outlet;leak;vent
出す	だ.す	v5s,vt・v5s	to take out;to get out・to begin ...;to start to ...;to burst into ...
出来る	で.き.る	v1,vi	to be able (in a position) to do;to be up to the task
出る	で.る	v1,vi	to leave;to exit;to go out;to come out;to get out
出かける	で.かける	v1,vi	to go out (e.g. on an excursion or outing);to leave;to depart;to start;to set out
土	つち	n	earth;soil;dirt;clay;mud
古い	ふる.い	a-i	old;aged;ancient;antiquated;antique;timeworn
中古	チュウ.コ	n-t,a-no・n	used;second-hand;old・Middle Ages
早い	はや.い	a-i	early (in the day, etc.);premature・easy;simple;quick
草	くさ	n・exp	grass;weed;herb;thatch・laughter;LOL
王子	オウ.ジ	n	prince
女王	ジョ.オウ	n,a-no	queen
主に	おも.に	adv	mainly;primarily
玉	たま	n・n	ball;sphere;globe;orb・egg
目玉	め.だま	n	eyeball
国	くに	n	country;state
安全	アン.ゼン	n,a-na	safety;security
全て	すべ.て	n,a-no・adv	everything;all;the whole・entirely;completely;wholly;all
お金	お.かね	n	money
安心	アン.シン	a-na,n,vs	relief;peace of mind
中心	チュウ.シン	n,a-no・suf	center;middle;heart;core;focus;pivot;emphasis;balance・-centered;-focused;-oriented
心	こころ	n	mind;heart;spirit
必ず	かなら.ず	adv	always;without exception;necessarily;certainly;without fail;positively;invariably
皿	さら	n・n,ctr・n	plate;dish;platter;disc・serving;helping;course・kanji radical 108 (at the bottom)
血	ち	n	blood;consanguinity
出血	シュッ.ケツ	n,vs	bleeding;hemorrhage
切手	きっ.て	n	stamp (postage);merchandise certificate
手	て	n・n,ctr	hand;arm・move (in go, shogi, etc.)
毛	け	n	hair
干す	ほ.す	v5s,vt	to air;to dry;to desiccate
平日	ヘイ.ジツ	n-adv,n	weekday;ordinary days (i.e. non-holiday)
平ら	たい.ら	a-na,n	flatness;level;smooth;calm;plain;sitting tailor fashion
呼ぶ	よ.ぶ	v5b,vt	to call out (to);to call;to invoke
呼び出す	よ.び.だ.す	v5s,vt	to summon;to call (e.g. phone);to convene;to decoy;to lure
午	うま	n	seventh sign of the Chinese zodiac (The Horse, 11am–1pm, south, May)
許す	ゆる.す	v5s,vt	to permit;to allow;to approve;to consent to
半分	ハン.ブン	n-adv,n	half
大半	タイ.ハン	n,a-no・n-adv	majority;more than half;most (of)・mostly;largely;mainly;predominately;nearly
半ば	なか.ば	n-adv,n,n-suf	middle;half;semi;halfway;partly
牛肉	ギュウ.ニク	n	beef
牛	うし	n	cattle (Bos taurus);cow;bull;ox;calf
村	むら	n	village
付ける	つ.ける	v1,vt	to attach;to join;to add;to append;to affix;to stick;to glue;to fasten;to sew on;to apply (ointment)
日付	ひ.づけ	n,a-no	date;dating
守る	まも.る	v5r,vt	to protect;to guard;to defend
団体	ダン.タイ	n	organization;association
寺	てら	n	temple (Buddhist)
国分寺	コク.ブン.ジ	n	state-supported provincial temple (Nara period)
一時	イチ.ジ	n-t・n-adv,n-t・n-adv,n-t,a-no・n	one o'clock・once;at one time;formerly;before・for a time;for a while;for the time being;for the present;for the moment;temporarily・a time;one time;once
持つ	も.つ	v5t	to hold (in one's hand);to take;to carry
持ち上げる	も.ち.あ.げる	v1,vt	to elevate;to raise;to lift up
特に	トク.に	adv	particularly;especially
特許	トッ.キョ	n,a-no・a-f	patent;special permission;license;concession;franchise;charter・proprietary
詩人	シ.ジン	n	poet
詩	シ	n	poem;verse of poetry
待つ	ま.つ	v5t,vt,vi	to wait
見物	ケン.ブツ	n,vs・n	sightseeing;watching;viewing・sightseer;watcher;spectator
元	もと	n・ctr・n	origin;source・counter for blades of grass, tree trunks, etc., and for falcons (in falconry)・handle (chopsticks, brush, etc.);grip
完全	カン.ゼン	a-na,n,a-no	perfect;complete
完了	カン.リョウ	n,vs,a-no・n	completion;conclusion・perfect (tense, form, aspect)
入院	ニュウ.イン	n,vs	hospitalization
退院	タイ.イン	n,vs	leaving hospital;discharge from hospital
寺院	ジ.イン	n	temple
大学院	ダイ.ガク.イン	n	graduate school
文学	ブン.ガク	n	literature
文字	モ.ジ	n	letter (of alphabet);character
文	ふみ	n	letter;writings
対	ツイ	n・ctr	pair;couple;set・counter for items that come in pairs
右	みぎ	n	right;right hand side
右手	みぎ.て	n・n,a-no	right hand・right-hand side;right-hand direction;(on) the right
若い	わか.い	a-i	young;youthful
若し	も.し	adv	if;in case;supposing
若干	ジャッ.カン	n,a-no・n-adv・a-no,n-adv,n	some;few;a number of;a little (bit)・somewhat;to a certain extent・many;a lot
石	いし	n	stone
岩	いわ	n	rock;boulder
人工	ジン.コウ	n,a-no	artificial;human-made;human work;human skill;artificiality
左	ひだり	n,a-no	left;left hand side
左右	サ.ユウ	n,vs	left and right
又	また	adv,conj,pref	again;and;also;still (doing something)
又は	また.は	conj,exp	or;otherwise
友	とも	n	friend;companion;comrade;pal
友人	ユウ.ジン	n	friend
有る	あ.る	v5r-i,vi	to be;to exist;to live
有効	ユウ.コウ	a-na,n・n	valid;effective・yuko (judo)
お母さん	お.かあ.さん	n	mother;mom;mum;ma
父母	フ.ボ	n	father and mother;parents
毎月	マイ.つき	n-adv,n	every month;each month;monthly
毎日	マイ.ニチ	n-adv,n-t	every day
海	うみ	n	sea;ocean;waters
梅	うめ	n	Japanese apricot (Prunus mume);Japanese plum;ume;Chinese plum
梅干し	うめ.ぼ.し	n,nv	umeboshi;pickled dried ume;pickled dried plum
悔しい	くや.しい	a-i	vexing;annoying;frustrating;regrettable;mortifying
悔い	く.い	n,nv	regret;repentance
元気	ゲン.キ	a-na,n	lively;full of spirit;energetic;vigorous;vital;spirited
天気	テン.キ	n	weather;the elements
気	キ	n	spirit;mind;heart
気分	キ.ブン	n	feeling;mood
気持ち	キ.も.ち	n,nv・adv	feeling;sensation;mood・just a little;somewhat;slightly
気体	キ.タイ	n	gas;vapor
今月	コン.ゲツ	n-adv,n-t	this month
今	いま	n-adv,n	now;the present time;just now;soon;immediately;(one) more
今回	コン.カイ	n-adv,n-t	now;this time;lately
公平	コウ.ヘイ	n,a-na	fairness;impartiality;justice;objectivity
公	おおやけ	a-no,n	official;governmental;formal
夕方	ゆう.がた	n-adv,n-t	evening;dusk
有名	ユウ.メイ	a-na・n	famous・fame
名人	メイ.ジン	n	master;expert
外国人	ガイ.コク.ジン	n	foreigner;foreign citizen;foreign national;alien;non-Japanese
外	そと	n	outside;exterior
外国	ガイ.コク	n,a-no	foreign country
海外	カイ.ガイ	n,a-no	foreign;abroad;overseas
外交	ガイ.コウ	n	diplomacy
多分	タ.ブン	adv・a-na,a-no	perhaps;probably・generous;many;much;great
多い	おお.い	a-i	many;numerous;a lot
多少	タ.ショウ	adv,a-no・n	more or less;somewhat;a little;a few;some・amount;quantity
丁目	チョウ.め	n	district of a town;city block (of irregular size)
打つ	う.つ	v5t,vt	to hit;to strike;to knock;to beat;to punch;to slap;to tap;to bang;to clap;to pound
打つ	ぶ.つ	v5t,vt	to hit (a person);to strike;to beat
町	まち	n	town;block;neighborhood
下町	した.まち	n	low-lying part of a city (usu. containing shops, factories, etc.)
立つ	た.つ	v5t,vi	to stand;to rise;to stand up
位	くらい	adv・n	throne;crown;(nobleman's) seat・grade (of quality, etc.);level;tier;rank
泣く	な.く	v5k	to cry;to weep;to sob;to howl
